License,LGPL-3.0,LGPL-3.1,LGPL-2.0,GPL-2.0-with-classpath-exception,Apache-2.0,GPL-2.0,GPL-2.1,GPL-3.0,GPL-3.1,BSD-3-Clause,MIT
LGPL-3.0,1,1,0,0,0,0,0,1,1,0,0
LGPL-3.1,0,1,0,0,0,0,0,0,1,0,0
LGPL-2.0,1,1,1,1,0,1,1,1,1,0,0
GPL-2.0-with-classpath-exception,0,0,0,1,0,?,1,1,1,0,0
Apache-2.0,1,1,0,0,1,0,1,1,1,0,0
GPL-2.0,0,0,0,1,0,1,1,1,1,0,0
GPL-2.1,0,0,0,0,0,0,1,1,1,0,0
GPL-3.0,0,0,0,0,0,0,0,1,1,0,0
GPL-3.1,0,0,0,0,0,0,0,0,1,0,0
BSD-3-Clause,1,1,1,1,1,1,1,1,1,1,1
MIT,1,1,1,1,1,1,1,1,1,1,1
